
TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
NJN	NJN @ MIA	03/14/1999	L	48	76	28	78	35.9	1	13	7.7	19	23	82.6	13	32	45	16	18	5	10	24	-26
PHX	PHX vs. HOU	03/14/1999	W	48	104	42	90	46.7	3	12	25.0	17	21	81.0	14	31	45	31	9	10	4	16	14
NYK	NYK vs. CHH	03/14/1999	W	48	94	31	74	41.9	5	12	41.7	27	35	77.1	18	31	49	17	17	8	5	27	8
LAL	LAL @ SAC	03/14/1999	L	48	101	42	92	45.7	2	14	14.3	15	21	71.4	14	29	43	23	16	14	2	25	-4
BOS	BOS @ IND	03/14/1999	L	48	96	38	81	46.9	6	11	54.5	14	18	77.8	11	30	41	24	14	6	2	28	-3
MIL	MIL @ WAS	03/14/1999	L	48	86	35	77	45.5	3	9	33.3	13	17	76.5	11	32	43	16	16	5	5	20	-12
ATL	ATL @ DET	03/14/1999	W	48	85	27	72	37.5	9	20	45.0	22	29	75.9	9	32	41	16	13	10	7	21	13
CHH	CHH @ NYK	03/14/1999	L	48	86	28	66	42.4	3	8	37.5	27	41	65.9	8	27	35	13	15	12	4	27	-8
LAC	LAC @ SEA	03/14/1999	L	48	89	35	76	46.1	5	17	29.4	14	18	77.8	10	26	36	18	19	9	2	22	-19
DET	DET vs. ATL	03/14/1999	L	48	72	26	77	33.8	6	20	30.0	14	18	77.8	13	33	46	16	17	5	3	28	-13
SEA	SEA vs. LAC	03/14/1999	W	48	108	42	74	56.8	6	13	46.2	18	21	85.7	9	28	37	27	18	8	4	13	19
HOU	HOU @ PHX	03/14/1999	L	48	90	34	82	41.5	8	20	40.0	14	20	70.0	9	30	39	17	13	6	8	22	-14
WAS	WAS vs. MIL	03/14/1999	W	48	98	36	88	40.9	8	18	44.4	18	23	78.3	17	27	44	26	8	9	3	18	12
HOU	HOU vs. CLE	03/13/1999	W	48	100	38	70	54.3	8	23	34.8	16	20	80.0	9	29	38	29	22	8	7	15	11
CLE	CLE @ HOU	03/13/1999	L	48	89	37	79	46.8	5	11	45.5	10	14	71.4	9	19	28	27	16	7	4	23	-11
MIN	MIN @ UTA	03/13/1999	L	48	72	30	89	33.7	0	6	0.0	12	15	80.0	19	27	46	12	16	13	7	23	-27
ATL	ATL vs. TOR	03/13/1999	W	48	86	26	65	40.0	3	11	27.3	31	45	68.9	11	27	38	15	18	11	7	19	11
TOR	TOR @ ATL	03/13/1999	L	48	75	29	76	38.2	1	8	12.5	16	26	61.5	12	29	41	6	15	10	4	32	-11
GSW	GSW vs. ORL	03/13/1999	L	48	74	32	85	37.6	0	11	0.0	10	17	58.8	18	38	56	17	18	8	6	24	-13
POR	POR @ LAC	03/13/1999	W	53	106	32	75	42.7	3	9	33.3	39	50	78.0	14	36	50	14	16	6	7	16	10
LAC	LAC vs. POR	03/13/1999	L	53	96	40	97	41.2	4	22	18.2	12	12	100	16	30	46	18	15	11	8	34	-10
UTA	UTA vs. MIN	03/13/1999	W	48	99	37	82	45.1	4	6	66.7	21	27	77.8	14	38	52	27	14	9	7	16	27
DEN	DEN @ SAS	03/13/1999	L	48	61	21	73	28.8	0	5	0.0	19	25	76.0	12	27	39	9	22	10	1	25	-31
VAN	VAN @ DAL	03/13/1999	L	48	74	27	66	40.9	1	6	16.7	19	26	73.1	10	28	38	13	22	7	5	25	-17
DAL	DAL vs. VAN	03/13/1999	W	48	91	34	76	44.7	5	11	45.5	18	28	64.3	16	29	45	19	18	11	5	25	17
ORL	ORL @ GSW	03/13/1999	W	48	87	31	85	36.5	5	14	35.7	20	31	64.5	16	34	50	19	9	7	5	14	13
SAS	SAS vs. DEN	03/13/1999	W	48	92	31	69	44.9	4	12	33.3	26	35	74.3	7	35	42	22	18	11	10	23	31
POR	POR vs. UTA	03/12/1999	L	48	77	32	66	48.5	3	8	37.5	10	15	66.7	8	23	31	18	21	11	7	13	-14
NJN	NJN @ PHI	03/12/1999	L	53	93	31	91	34.1	4	15	26.7	27	35	77.1	21	35	56	15	24	13	6	32	-7
GSW	GSW @ LAL	03/12/1999	L	48	78	27	75	36.0	3	11	27.3	21	37	56.8	15	34	49	15	19	9	10	24	-11
IND	IND vs. MIL	03/12/1999	W	48	109	42	70	60.0	2	12	16.7	23	32	71.9	11	24	35	24	16	8	3	14	5
LAL	LAL vs. GSW	03/12/1999	W	48	89	34	79	43.0	0	6	0.0	21	28	75.0	9	33	42	22	13	10	5	25	11
BOS	BOS @ DET	03/12/1999	L	48	83	34	79	43.0	8	15	53.3	7	16	43.8	12	32	44	25	16	7	0	27	-10
NYK	NYK @ CHI	03/12/1999	L	48	63	19	61	31.1	1	6	16.7	24	40	60.0	12	26	38	12	23	9	6	23	-13
UTA	UTA @ POR	03/12/1999	W	48	91	39	82	47.6	6	10	60.0	7	10	70.0	16	25	41	25	17	12	2	15	14
SAC	SAC vs. MIN	03/12/1999	L	48	95	33	76	43.4	5	12	41.7	24	33	72.7	13	23	36	17	20	8	2	18	-6
DET	DET vs. BOS	03/12/1999	W	48	93	30	62	48.4	4	11	36.4	29	40	72.5	5	33	38	19	15	10	5	17	10
MIL	MIL @ IND	03/12/1999	L	48	104	41	84	48.8	6	13	46.2	16	21	76.2	16	21	37	20	14	11	1	20	-5
WAS	WAS vs. CHH	03/12/1999	L	48	83	31	72	43.1	3	13	23.1	18	25	72.0	12	31	43	19	22	8	3	26	-9
CHI	CHI vs. NYK	03/12/1999	W	48	76	26	71	36.6	5	13	38.5	19	26	73.1	11	32	43	21	18	10	5	27	13
SAS	SAS @ PHX	03/12/1999	W	48	99	39	76	51.3	8	12	66.7	13	20	65.0	11	22	33	21	15	11	5	18	2
PHI	PHI vs. NJN	03/12/1999	W	53	100	34	78	43.6	2	5	40.0	30	39	76.9	10	35	45	19	22	16	10	31	7
PHX	PHX vs. SAS	03/12/1999	L	48	97	40	76	52.6	4	11	36.4	13	16	81.3	9	26	35	29	13	9	4	13	-2
CHH	CHH @ WAS	03/12/1999	W	48	92	34	75	45.3	6	15	40.0	18	28	64.3	11	31	42	18	16	11	3	21	9
MIN	MIN @ SAC	03/12/1999	W	48	101	40	86	46.5	3	7	42.9	18	23	78.3	17	30	47	21	16	9	5	22	6
ATL	ATL vs. BOS	03/11/1999	W	48	99	39	84	46.4	0	5	0.0	21	32	65.6	20	35	55	21	17	7	4	16	14
DAL	DAL vs. ORL	03/11/1999	W	48	93	37	79	46.8	2	10	20.0	17	26	65.4	13	36	49	24	14	8	9	16	17
CHI	CHI vs. SEA	03/11/1999	L	48	83	31	79	39.2	3	16	18.8	18	22	81.8	11	28	39	20	12	7	7	31	-9
GSW	GSW vs. MIN	03/11/1999	W	48	89	31	79	39.2	1	7	14.3	26	41	63.4	17	34	51	17	13	6	3	23	7
WAS	WAS @ NYK	03/11/1999	L	48	86	27	67	40.3	6	19	31.6	26	32	81.3	10	24	34	17	14	5	2	21	-12
NYK	NYK vs. WAS	03/11/1999	W	48	98	41	80	51.3	2	8	25.0	14	22	63.6	14	30	44	29	10	9	3	25	12
BOS	BOS @ ATL	03/11/1999	L	48	85	36	88	40.9	0	6	0.0	13	18	72.2	13	24	37	16	12	8	7	24	-14
HOU	HOU vs. VAN	03/11/1999	W	48	102	35	81	43.2	3	18	16.7	29	36	80.6	16	33	49	22	12	7	3	20	11
SAC	SAC @ LAC	03/11/1999	L	48	92	33	77	42.9	4	17	23.5	22	33	66.7	9	26	35	14	13	5	6	19	-14
ORL	ORL @ DAL	03/11/1999	L	48	76	31	80	38.8	2	10	20.0	12	17	70.6	11	26	37	14	14	7	0	19	-17
MIN	MIN @ GSW	03/11/1999	L	48	82	30	91	33.0	3	11	27.3	19	26	73.1	24	30	54	22	14	6	13	28	-7
MIA	MIA vs. TOR	03/11/1999	W	48	83	32	65	49.2	5	15	33.3	14	23	60.9	7	35	42	19	16	7	4	21	10
SEA	SEA @ CHI	03/11/1999	W	48	92	29	73	39.7	9	21	42.9	25	41	61.0	11	32	43	23	15	6	2	20	9
TOR	TOR @ MIA	03/11/1999	L	48	73	26	71	36.6	3	12	25.0	18	23	78.3	11	28	39	11	14	10	3	24	-10
VAN	VAN @ HOU	03/11/1999	L	48	91	38	82	46.3	1	7	14.3	14	22	63.6	10	25	35	18	14	9	5	28	-11
UTA	UTA vs. DEN	03/11/1999	W	48	94	33	68	48.5	4	7	57.1	24	28	85.7	9	25	34	26	12	8	8	18	5
DEN	DEN @ UTA	03/11/1999	L	48	89	36	75	48.0	2	13	15.4	15	19	78.9	12	25	37	20	15	8	2	22	-5
LAC	LAC vs. SAC	03/11/1999	W	48	106	41	89	46.1	8	18	44.4	16	22	72.7	18	40	58	22	13	5	6	27	14
LAL	LAL vs. LAC	03/10/1999	W	48	94	34	79	43.0	1	4	25.0	25	35	71.4	18	35	53	17	21	9	5	21	19
PHX	PHX vs. CLE	03/10/1999	L	48	73	29	82	35.4	3	16	18.8	12	14	85.7	12	27	39	24	13	3	4	21	-13
ORL	ORL @ SAS	03/10/1999	L	48	79	32	75	42.7	4	12	33.3	11	14	78.6	7	28	35	18	16	11	3	17	-2
IND	IND vs. NJN	03/10/1999	W	48	93	36	85	42.4	3	13	23.1	18	26	69.2	15	33	48	20	12	6	6	30	11
LAC	LAC @ LAL	03/10/1999	L	48	75	23	73	31.5	4	12	33.3	25	31	80.6	11	20	31	12	20	10	6	30	-19
DET	DET @ WAS	03/10/1999	L	48	87	36	80	45.0	2	14	14.3	13	24	54.2	16	30	46	20	15	8	2	13	-10
WAS	WAS vs. DET	03/10/1999	W	48	97	41	76	53.9	6	11	54.5	9	13	69.2	5	32	37	25	16	7	3	24	10
MIA	MIA vs. ATL	03/10/1999	W	48	88	30	71	42.3	8	15	53.3	20	28	71.4	11	31	42	15	14	7	7	21	10
SEA	SEA @ MIL	03/10/1999	L	48	97	36	75	48.0	5	18	27.8	20	29	69.0	10	23	33	24	15	8	2	18	-4
NJN	NJN @ IND	03/10/1999	L	48	82	25	71	35.2	2	8	25.0	30	42	71.4	8	30	38	16	14	9	10	24	-11
CLE	CLE @ PHX	03/10/1999	W	48	86	34	74	45.9	2	6	33.3	16	21	76.2	9	33	42	24	13	10	1	21	13
CHH	CHH @ PHI	03/10/1999	L	48	70	29	86	33.7	6	22	27.3	6	8	75.0	14	26	40	23	22	14	6	17	-15
MIL	MIL vs. SEA	03/10/1999	W	48	101	41	81	50.6	6	12	50.0	13	22	59.1	15	27	42	20	13	7	5	26	4
PHI	PHI vs. CHH	03/10/1999	W	48	85	33	79	41.8	3	6	50.0	16	25	64.0	16	38	54	19	23	17	6	16	15
SAS	SAS vs. ORL	03/10/1999	W	48	81	36	70	51.4	1	3	33.3	8	14	57.1	5	28	33	28	20	10	4	21	2
ATL	ATL @ MIA	03/10/1999	L	48	78	32	80	40.0	2	14	14.3	12	15	80.0	16	29	45	17	13	8	3	24	-10
CHI	CHI vs. NJN	03/09/1999	W	48	103	37	81	45.7	5	13	38.5	24	36	66.7	12	27	39	24	17	13	5	25	16
PHX	PHX @ DAL	03/09/1999	W	48	103	42	86	48.8	9	13	69.2	10	13	76.9	13	27	40	26	10	3	3	19	12
BOS	BOS @ CHH	03/09/1999	L	48	87	36	88	40.9	0	8	0.0	15	22	68.2	16	26	42	20	18	6	6	27	-18
DEN	DEN @ HOU	03/09/1999	L	48	75	23	77	29.9	4	17	23.5	25	33	75.8	19	25	44	12	17	10	2	19	-9
CLE	CLE @ UTA	03/09/1999	L	48	75	22	64	34.4	3	9	33.3	28	33	84.8	6	22	28	16	18	7	1	36	-13
LAC	LAC vs. LAL	03/09/1999	L	48	99	36	80	45.0	4	8	50.0	23	39	59.0	16	18	34	16	13	9	6	35	-4
SAC	SAC @ POR	03/09/1999	L	48	98	38	87	43.7	7	20	35.0	15	27	55.6	12	38	50	21	12	7	2	19	-5
LAL	LAL @ LAC	03/09/1999	W	48	103	34	71	47.9	1	6	16.7	34	48	70.8	16	30	46	13	20	10	8	29	4
POR	POR vs. SAC	03/09/1999	W	48	103	41	89	46.1	5	16	31.3	16	22	72.7	11	35	46	26	9	8	6	19	5
DAL	DAL vs. PHX	03/09/1999	L	48	91	38	78	48.7	4	15	26.7	11	21	52.4	12	27	39	26	12	5	4	18	-12
MIL	MIL @ NYK	03/09/1999	W	48	87	33	74	44.6	7	12	58.3	14	23	60.9	11	29	40	21	16	8	5	17	1
CHH	CHH vs. BOS	03/09/1999	W	48	105	36	72	50.0	5	9	55.6	28	36	77.8	9	33	42	26	19	9	4	24	18
UTA	UTA vs. CLE	03/09/1999	W	48	88	28	60	46.7	1	10	10.0	31	41	75.6	9	35	44	22	20	11	7	31	13
VAN	VAN @ GSW	03/09/1999	L	48	82	33	81	40.7	4	10	40.0	12	19	63.2	13	28	41	20	16	9	4	21	-10
MIN	MIN vs. SEA	03/09/1999	W	48	85	38	91	41.8	2	15	13.3	7	10	70.0	22	29	51	26	12	5	8	17	1
GSW	GSW vs. VAN	03/09/1999	W	48	92	41	85	48.2	2	7	28.6	8	19	42.1	17	40	57	32	20	9	4	18	10
SEA	SEA @ MIN	03/09/1999	L	48	84	34	82	41.5	6	19	31.6	10	13	76.9	17	29	46	25	17	3	3	17	-1
HOU	HOU vs. DEN	03/09/1999	W	48	84	33	65	50.8	4	14	28.6	14	21	66.7	7	30	37	24	20	11	7	24	9
NYK	NYK vs. MIL	03/09/1999	L	48	86	31	76	40.8	5	20	25.0	19	25	76.0	12	30	42	18	14	6	2	18	-1
